scenario,case,step_index,sweep_x,sweep_key,sweep_xlabel,gt_C_MD,mean_cov_C_MD,median_cov_C_MD,n_rel_err_C_MD,mean_rel_err_C_MD,median_rel_err_C_MD,std_rel_err_C_MD,p90_rel_err_C_MD,max_rel_err_C_MD,n_abs_err_C_MD,mean_abs_err_C_MD,median_abs_err_C_MD,std_abs_err_C_MD,p90_abs_err_C_MD,max_abs_err_C_MD
sticks_2,stick_1500_dperp_0.05,1,0.05,sticks_dperp,D_perp [um2/ms],8.57558512536456e-06,-0.045351695611124614,0.01642827079982148,100,14642.823503053953,9761.50280388064,17435.302402212226,30400.21710782475,103212.02892630553,100,0.12557077942612804,0.08371059824616325,0.14951791993664418,0.26069964963771514,0.8851035400191224
sticks_2,stick_1500_dperp_0.08,2,0.08,sticks_dperp,D_perp [um2/ms],2.1116383250893443e-05,-0.0062009902080948495,0.01416901267776504,100,3821.5157131092,3119.6813356295534,2936.833530631148,7317.830958422068,19218.49122755357,100,0.08069659039732521,0.0658763867038128,0.06201530237688182,0.15452612308329325,0.4058250262649548
crossing_needles_2,crossing_needles_2_angle90,10,90.0,crossing_angle,Crossing angle [deg],2.7742532039877883e-05,0.007850116433639804,0.032599350622263046,100,2714.4462952196855,2162.795193676432,2276.478232055935,5267.450426932391,11277.058712223867,100,0.07530561331565994,0.06000141495626231,0.06315527029089635,0.14613241223764026,0.31285416263945465
crossing_needles_2,crossing_needles_2_angle52,5,52.0,crossing_angle,Crossing angle [deg],3.9929356046196375e-05,-0.03347355838542863,0.014630167746725438,100,2620.1299467571725,1790.5128877194782,3356.835063279459,5400.760913405411,26955.98214326063,100,0.10462010153136873,0.07149402659905427,0.13403626243004169,0.2156489054317454,1.0763350085731653
sticks_2,stick_1500_dperp_0.11,3,0.11,sticks_dperp,D_perp [um2/ms],3.403312501381517e-05,-0.02504376431798382,-0.0029679852859628812,100,2610.755164250575,2127.1100688165793,2117.077721129714,5523.751693128217,10485.783344816818,100,0.08885215688540342,0.07239220289017963,0.07205077074717049,0.1879905319175058,0.35686397544193177
demyelination_progressive_sticks,demyelination_progressive_sticks_end0.10,1,0.1,demyelination,End D_perp [um2/ms],3.250638430552469e-05,0.023596464030010526,0.034613946687095,100,2589.0447617380037,2197.2772000383907,2095.7258105873475,5142.822012581606,9688.594711215077,100,0.08416048400926111,0.07142553709021518,0.06812446859795955,0.1671745487558896,0.3149411830632313
sticks_2,stick_1500_dperp_0.14,4,0.14,sticks_dperp,D_perp [um2/ms],5.7971445224402536e-05,-0.008189398365422068,0.020547781839588275,100,1434.5931871847847,1193.987536730103,1335.707809996662,2754.2206233640172,8190.488118853523,100,0.0831654403701838,0.0692171830841685,0.07743291214302817,0.15966615000326692,0.47481443334323675
crossing_needles_2,crossing_needles_2_angle68,7,68.0,crossing_angle,Crossing angle [deg],8.631202577456356e-05,-0.036683744337551276,0.018689107002867442,100,1168.7777179903064,733.0348891587764,1436.9041699201016,2497.404156693103,11183.42833830309,100,0.10087957251991492,0.06326972624672667,0.12402210974972167,0.21555601194199725,0.965264354983601
sticks_2,stick_1500_dperp_0.18,5,0.18,sticks_dperp,D_perp [um2/ms],9.436426443745404e-05,-0.017892431921248408,0.011603559138883054,100,922.0951404446674,749.5020903711047,816.6101394777515,1570.6458842334018,6072.561929598839,100,0.08701282966941189,0.07072621345220349,0.07705881514398479,0.14821284355739955,0.573032839737481
o_prog_gauss_2,ODI_0.58,8,0.58,o_prog,ODI,0.00010353719484081087,0.008320097047273309,0.02522566145362859,100,652.9341729434112,604.9498289658573,476.7964880460914,1188.997511856762,2586.816772707027,100,0.06760297268226566,0.06263480831055318,0.04936617088224251,0.1231054670503529,0.267831752213245
o_prog_gauss_2,ODI_0.72,9,0.72,o_prog,ODI,0.00011278612719442604,-0.0011219221435779375,0.017464429946372324,100,629.0090584511728,514.1138318710127,502.6660467203016,1097.1769596289232,2558.621117221644,100,0.07094349567292015,0.057984908033817804,0.056693756681715245,0.12374634012350139,0.2885769667693048
crossing_needles_2,crossing_needles_2_angle44,4,44.0,crossing_angle,Crossing angle [deg],0.00014408392254473034,-0.011989980927454074,0.009921979371395447,100,600.8510154621738,488.475027906259,644.781100761051,1073.2607064717488,3721.7513442406057,100,0.08657297117277443,0.07038139808588041,0.09290259018036125,0.154639612501578,0.5362445324143095
sticks_2,stick_1500_dperp_0.22,6,0.22,sticks_dperp,D_perp [um2/ms],0.00011368899476638095,0.001986647120363472,0.009740062446570264,100,584.5176627178959,524.0254011908846,509.4345518324598,1209.4676290432412,2581.3332821602116,100,0.06645322549759208,0.05957592109344116,0.05791710209709414,0.13750315894840426,0.29346918600579724
o_prog_gauss_2,ODI_0.90,10,0.9,o_prog,ODI,0.00010315592056976684,0.0034520545043700583,0.012974120764123168,100,576.336764540121,474.66124678764584,438.58151191301585,1156.887631708348,2119.5167206131496,100,0.059452549504337135,0.04896411787117289,0.04524227960626732,0.11933980864465203,0.21864069847786277
o_prog_gauss_2,ODI_0.28,5,0.28,o_prog,ODI,0.00012177287362341409,-0.0016214021766831751,0.019166805564887694,100,567.420581095601,497.1425425934476,443.29645901075764,1034.9639733611157,2717.194404592498,100,0.06909643471307882,0.06053847601205466,0.05398148368082395,0.12603053713288964,0.3308805708406901
o_prog_gauss_2,ODI_0.02,1,0.02,o_prog,ODI,0.0001249423521569131,0.03565169006746821,0.05447808502779766,100,563.3770819406543,583.0376651489537,317.8738084567785,991.6804209167548,1359.8439137188968,100,0.07038965776896332,0.07284609727978496,0.039715901317665954,0.12390288437729698,0.16990209714630136
crossing_needles_2,crossing_needles_2_angle60,6,60.0,crossing_angle,Crossing angle [deg],0.00015155210847822545,-0.02415267053551706,-0.0027966164794935317,100,559.8443377924381,377.7423344865722,589.1857422277419,1141.7980245719316,3634.2753633883585,100,0.08484558981203985,0.05724764725292711,0.08929234151992253,0.17304189808014891,0.5507820941119748
o_prog_gauss_2,ODI_0.20,4,0.2,o_prog,ODI,0.00012750357735838644,0.013312455790939266,0.03313287969145008,100,546.1009326018502,474.65351706642093,438.79639253409545,1010.1053104744419,2931.3837432414534,100,0.069629822505487,0.06052002143170859,0.05594810978005194,0.12879204059419497,0.3737619138735031
o_prog_gauss_2,ODI_0.46,7,0.46,o_prog,ODI,0.00012038341973637309,-0.0026386016488936814,0.016847876768880037,100,532.7594845776115,359.6846892999853,568.6974628511273,1065.9776347804227,3726.7064356260344,100,0.06413540865044037,0.043300072924747066,0.06846174537341769,0.12832603303735785,0.44863366507421176
o_prog_gauss_2,ODI_0.08,2,0.08,o_prog,ODI,0.00012645601137079945,0.011798233500046794,0.03069160353879504,100,521.8096708417921,439.9237590057629,397.85735641251955,952.772743899916,1896.8569116501778,100,0.06598596966936278,0.05563100387111759,0.05031145438645778,0.12048384093639558,0.23986895918841442
o_prog_gauss_2,ODI_0.36,6,0.36,o_prog,ODI,0.00012403916024977072,0.006682034819600609,0.011394374851090749,100,472.3841951958619,397.0435886059506,423.7958296678975,853.939455553205,2911.920924503139,100,0.058594138887358496,0.04924895331323755,0.05256727882936089,0.10592193297096596,0.36119222618910535
crossing_needles_2,crossing_needles_2_angle28,2,28.0,crossing_angle,Crossing angle [deg],0.000246686906963479,-0.01764656078556132,0.019635702971815827,100,429.7880867760098,346.8869367965343,548.0232112680831,814.8878269408095,4711.679138409123,100,0.10602309377652518,0.08557246550437289,0.13519015093191658,0.20102215755021907,1.1623095532584962
demyelination_progressive_sticks,demyelination_progressive_sticks_end0.14,2,0.14,demyelination,End D_perp [um2/ms],0.000197067484996296,-0.002616286720349183,0.010265573593197276,100,402.3600875986722,313.56208090010034,397.4739323659236,780.7650098236362,2735.5823560070417,100,0.07929209052595967,0.06179289067318788,0.07832918820294042,0.15386339685905231,0.5390943348985497
o_prog_gauss_2,ODI_0.14,3,0.14,o_prog,ODI,0.00014819636195746196,0.018286466022020897,0.019496425983104866,100,365.8193659463086,331.52447691383657,280.08784788448406,711.8657644839116,1278.6040976628012,100,0.05421309916682839,0.049130721378481165,0.04150800008497555,0.10549591649858313,0.18948447565753052
crossing_needles_2,crossing_needles_2_angle20,1,20.0,crossing_angle,Crossing angle [deg],0.00026482478388205853,-0.013190022248073405,0.014722386684715975,100,361.16353735877755,265.7134732249862,325.44956290991644,692.9693394923522,1552.0959675419815,100,0.09564505572711804,0.07036751312135811,0.08618711016212902,0.18351545556795504,0.4110334791685198
sticks_2,stick_1500_dperp_0.27,7,0.27,sticks_dperp,D_perp [um2/ms],0.00017692167428323067,0.006997816912826717,0.019241620852189327,100,354.27343116335743,250.76239384676856,312.48059764146814,745.5154022942043,2190.9273672572504,100,0.06267864859548605,0.044365302566641195,0.05528459051575309,0.13189783317782688,0.3876225380481033
frac_gauss_2,Frac_0.00,1,0.0,frac,Isotropic fraction,0.00019680362989468397,0.007154307947618725,0.02750632939487685,100,346.19914024155287,279.7524248299874,266.7219575056585,624.9874420230332,1426.7798216320766,100,0.06813324746595638,0.05505629267838123,0.052491849409729244,0.12299979722872627,0.2807954479576824
sticks_2,stick_1500_dperp_0.33,8,0.33,sticks_dperp,D_perp [um2/ms],0.0002202118282822913,0.005815779938301926,0.02802525827809781,100,330.05777120246387,274.8861841345468,297.70539737781434,575.9168576993882,2137.580525839178,100,0.07268262523527276,0.06053318917781113,0.06555824984607454,0.12682370417257446,0.47072051569566703
crossing_needles_2,crossing_needles_2_angle76,8,76.0,crossing_angle,Crossing angle [deg],0.00027221001040141334,-0.029325785064086382,-0.013316906070404371,100,309.62416384444265,244.72566489091332,286.84264083566035,609.7055243709826,1569.6449284450546,100,0.08428279686062463,0.0666167757854483,0.07808143824544397,0.16596794713082438,0.427273062298554
crossing_needles_2,crossing_needles_2_angle36,3,36.0,crossing_angle,Crossing angle [deg],0.000278090752787415,0.008011413392994078,0.029224941494055988,100,306.7929181761974,279.3055879485852,219.9260895694521,612.2372012815599,1081.5888681085858,100,0.08531627356546657,0.07767230121035362,0.06115941180596139,0.17025750418884913,0.30077986253880473
crossing_needles_2,crossing_needles_2_angle84,9,84.0,crossing_angle,Crossing angle [deg],0.0002847717936432252,-0.002583149380718852,0.014141379128566316,100,270.6441992726185,230.48705696243178,231.62395548785082,508.300961488498,1436.4071190959812,100,0.07707183406599803,0.06563621262273991,0.06595996925501384,0.14474977651365553,0.4090482317068604
sticks_2,stick_1500_dperp_0.40,9,0.4,sticks_dperp,D_perp [um2/ms],0.0002749060190248508,0.003068763808056756,0.017096271235907158,100,222.76393467772917,187.23340610306008,180.91196405143486,451.9939769296022,1035.281669947665,100,0.061239146464566456,0.05147159030025544,0.04973378783134688,0.1242558648209272,0.2846051624547121
spheres_2,spheres_csf_1500_w0.05,1,0.05,spheres_w,Half-width [um2/ms],0.0004330417748367468,0.08455669559627946,0.08267167456613281,100,194.9544851355738,189.90923640634753,76.3015129120797,295.5518457519043,372.6613325369149,100,0.08442343625549306,0.08223863279129606,0.03304174257417595,0.12798629584068105,0.16137792485481273
sticks_2,stick_1500_dperp_0.48,10,0.48,sticks_dperp,D_perp [um2/ms],0.00034205098948988287,0.023369698612264636,0.03534440185526236,100,172.25070769954945,156.3083598969106,115.02389872027157,332.2532810850778,521.5873957889745,100,0.058918525008963475,0.053465429168279,0.03934403837225297,0.11364756355641105,0.17840948483506988
demyelination_progressive_sticks,demyelination_progressive_sticks_end0.18,3,0.18,demyelination,End D_perp [um2/ms],0.0006853817394074969,-0.008137542796390477,0.027851547400191034,100,135.9298306641176,98.93661300745265,150.80005844417576,254.71834578354373,852.0632095417701,100,0.09316382377793943,0.06780934791413429,0.10335560635922136,0.17457930289212545,0.5839885646408729
fanning_sticks_1500,fanning_sticks_1500_span30,4,30.0,fanning_span,Fan span [deg],0.0014353553510555613,-0.026152847218083922,0.024274645668263727,100,79.68108371698848,50.96100548495894,125.27048489338813,127.64687987647598,1015.5512355378758,100,0.11437066989108556,0.07314715191800762,0.1798076608210495,0.18321863207624625,1.4576769002003767
fanning_sticks_1500,fanning_sticks_1500_span90,10,90.0,fanning_span,Fan span [deg],0.001512360919965899,-0.0313757942382487,-0.0017115513170080367,100,79.67533291663425,62.02766080962065,78.89417359661397,148.62599387570475,428.47259958388645,100,0.12049785978839024,0.09380821016537062,0.11931646496052443,0.22477614482870686,0.6480052148868668
fanning_sticks_1500,fanning_sticks_1500_span00,1,0.0,fanning_span,Fan span [deg],0.0014975657538766492,-0.03651552149451514,0.0004903277680353854,100,74.43301082113803,57.045099924093655,68.02409486587706,167.84687749921238,358.4941188853158,100,0.11146832796366633,0.08542878807279411,0.10187055490959389,0.2513617356379496,0.5368685154088331
demyelination_progressive_sticks,demyelination_progressive_sticks_end0.22,4,0.22,demyelination,End D_perp [um2/ms],0.0013680973331811617,-0.016614022279993562,-0.004854530793040155,100,72.73971533797449,63.39956527887445,55.280801203763495,140.61984730048647,353.9127868759645,100,0.09951501057023972,0.08673677618287311,0.07562951670298679,0.19238163808413772,0.48418713990371987
fanning_sticks_1500,fanning_sticks_1500_span40,5,40.0,fanning_span,Fan span [deg],0.001511137188733479,-0.01704262052519731,0.016227557351022978,100,68.0643563395432,50.64803744765435,68.22763973744237,136.97101725133285,520.3742670691421,100,0.10285458009189108,0.07653613292351637,0.10310132370675928,0.206981997947144,0.786356907028108
fanning_sticks_1500,fanning_sticks_1500_span50,6,50.0,fanning_span,Fan span [deg],0.0016225868556239594,-0.025946606076969858,0.005938271181115942,100,64.32914128362812,45.2775001649903,72.04108529760721,122.07373600453039,526.3924424020779,100,0.10437961908039156,0.07346667662322492,0.11689291806878192,0.1980752394578603,0.8541174579414037
fanning_sticks_1500,fanning_sticks_1500_span70,8,70.0,fanning_span,Fan span [deg],0.0015912518033058315,-0.006432884979214992,0.01793116485323098,100,63.692736332150524,54.50950985842512,56.577322482477015,111.65575407070827,363.29953492804935,100,0.10135118154601738,0.08673835585953596,0.0900287664264571,0.17767242001448696,0.5781010400944284
fanning_sticks_1500,fanning_sticks_1500_span80,9,80.0,fanning_span,Fan span [deg],0.0015752939748920715,-0.0037178870842568064,0.013275248966336719,100,61.1883396801214,57.433981824771706,42.36400967350324,110.75496618018806,207.87762330194195,100,0.09638962283174468,0.09047540552262362,0.06673576919093908,0.17447163091302542,0.32746836750243286
fanning_sticks_1500,fanning_sticks_1500_span10,2,10.0,fanning_span,Fan span [deg],0.0016032263039153264,0.003750202523726936,0.033491509353158214,100,60.9848146434278,47.85485324569577,54.286013643571664,109.01142861919168,327.8762699012488,100,0.09777245897574405,0.07672215949350719,0.08703276500808038,0.17476998978967612,0.5256598603353231
fanning_sticks_1500,fanning_sticks_1500_span60,7,60.0,fanning_span,Fan span [deg],0.0014749069812135284,0.0020144919964337703,0.023686122006340612,100,60.85773111772253,44.68680914812971,62.30067946803419,124.57421621135269,309.6505544706376,100,0.08975949248634477,0.06590888678073308,0.09188770708174997,0.18373538116932758,0.45670576452538336
fanning_sticks_1500,fanning_sticks_1500_span20,3,20.0,fanning_span,Fan span [deg],0.0014566811028916445,0.000656191950252704,0.024213394973947096,100,58.02535621690595,43.642161083347425,59.56046789514598,102.76519289022215,472.40327816940805,100,0.0845244398897231,0.06357271133946532,0.08676060806224364,0.1496961145182014,0.6881409282534416
spheres_2,spheres_csf_1500_w0.10,2,0.1,spheres_w,Half-width [um2/ms],0.001699549165559016,0.08729097912712355,0.0929864572476144,100,51.343150040241426,53.71242558436329,18.758850907722376,75.16794236745739,86.54582931421807,100,0.08726020780806368,0.09128690808205538,0.03188158940706555,0.1277516137274004,0.14708889199359235
demyelination_progressive_sticks,demyelination_progressive_sticks_end0.26,5,0.26,demyelination,End D_perp [um2/ms],0.002334594837919945,-0.006177825800064703,0.020912028672186868,100,43.067855513335225,36.28655756881901,41.43143842941949,82.25329022029977,219.37116005056953,100,0.10054599316171445,0.08471440998604977,0.09672562228492076,0.19202810675024296,0.5121427778425697
packed_crossings_conserved_2,crossing_angle20_frac50_50,1,20.0,crossing_angle,Crossing angle [deg],0.004178078870229172,-0.02207731378595573,0.00898353585385987,100,22.02436386188575,17.7061760980192,18.347788110991072,48.7758644981001,89.01405346000334,100,0.09201952928158386,0.07397780022769082,0.07665850582197381,0.2037894088366732,0.37190773591468984
packed_crossings_conserved_2,crossing_angle44_frac50_50,4,44.0,crossing_angle,Crossing angle [deg],0.004406349787343384,-0.005165253887755295,0.035910369701889724,100,21.78901604776183,18.276818715379903,28.11176422066606,33.79331565497676,251.0439621069743,100,0.09601002622847693,0.08053405625982782,0.12387026629557922,0.1489051692499347,1.1061875090439066
packed_crossings_conserved_2,crossing_angle68_frac50_50,7,68.0,crossing_angle,Crossing angle [deg],0.004359618697507341,-0.018350546157573863,0.0038611114579266653,100,21.476890757163186,16.642017275487063,28.81167013572089,41.670787032461476,258.11640020758534,100,0.09363105450925124,0.07255284967845357,0.12560789583010265,0.18166874228656552,1.1252890844782768
packed_crossings_conserved_2,crossing_angle84_frac50_50,9,84.0,crossing_angle,Crossing angle [deg],0.004256244902653495,-0.026582976270515767,0.0072364930744850346,100,21.184132256789113,13.514744808810526,24.109405578636572,47.579534241097,162.03658282178225,100,0.09016485493509614,0.05752206370316258,0.10261553460007763,0.20251015008429651,0.6896673796786015
packed_crossings_conserved_2,crossing_angle60_frac50_50,6,60.0,crossing_angle,Crossing angle [deg],0.004284083339898281,-0.016703220707332423,0.008792959285241434,100,21.176645423553126,15.36146742697098,22.09625240653642,36.38135804101385,138.23154242625702,100,0.09072251385397713,0.06580980668027649,0.09466218680902996,0.15586076986638175,0.59219544795677
packed_crossings_conserved_2,crossing_angle28_frac50_50,2,28.0,crossing_angle,Crossing angle [deg],0.004146245945962268,-0.024184302287761864,0.003983704154985697,100,21.030110397565014,16.35300361277467,19.29051246388819,46.76146404577878,84.18393935192695,100,0.08719600997904291,0.06780357493377331,0.07998320909893102,0.19388453072707063,0.3490473172530606
